platform,native_content_id,metric_name,metric_value_exact,observed_at,metric_definition_version,visibility,receipt_id
youtube,YKUsVkMlU4I,view_count,397668,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,p9jiaPI1a18,view_count,26799,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,p6BEWnZ_WjE,view_count,9228499,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,0p2FvtMpYDM,view_count,37063,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,yHQh2HFU3zE,view_count,204351,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,FcdcDXMln7o,view_count,22448,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,8bykG6rb308,view_count,32900,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,tgmugUoGjNw,view_count,13119,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,O-_lQxbES_s,view_count,5965613,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,kK9BT6SVky4,view_count,33107,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,-lFBuMLqfPA,view_count,6452819,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,oOFm8qIiQdg,view_count,18956,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,O86YTeWG7q4,view_count,9076673,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,piJAY4GF8s0,view_count,7131023,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,VfQsZe_fhwM,view_count,17448,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,PiYnzheu9-Y,view_count,19175,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,DNOYwiaVstY,view_count,4310805,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,W82CmMFLINw,view_count,27066,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,qVliOE9Pg4U,view_count,8051553,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,ReSz2CrbOnA,view_count,54849,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,ya31HMyeHX0,view_count,5407888,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,CzJbD44jU6Y,view_count,37602,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,9Ydft3BqWXs,view_count,40434,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,E-Yc2gKgu6s,view_count,13963,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,1ldd8tgMv-M,view_count,18438,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,lDK2rP5ORmo,view_count,8639,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,NTNZhCQZqs8,view_count,48238,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,OdqLJ_DHw6M,view_count,3754,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,4fk_IdZArYs,view_count,177099,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,_TY8jqZHuE8,view_count,67106,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,xETexMuAMFw,view_count,58066,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,6JYezwyG9Dc,view_count,54987,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,7I9obn4JoNo,view_count,12963,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,qG5IGZuYHl8,view_count,31538,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,IO1vbkRBM20,view_count,9130,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,F3AAcXvwM3E,view_count,23431,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,Dd78O2L9ZIA,view_count,183641,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,PWZCdwX6Id0,view_count,3918,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,CzOsMP8d5GY,view_count,6035,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,a_6hZ48Sx_k,view_count,36610,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,gGzQhCp2SQk,view_count,2160,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,YR82TIJFbwM,view_count,5268,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,2u7MI2f5A1g,view_count,126746,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,63mloriuYFI,view_count,56236,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,pfZ_y-qC9rU,view_count,47,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,zoaPaVFD7TY,view_count,11151,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,LnZjcfspWfM,view_count,6356956,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,sWY60CTYH2Y,view_count,32442,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,r22u8-lUuQ8,view_count,52700,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,00vqufE21Xw,view_count,16008,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,Ilqu9tZJ1_U,view_count,84196,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,cKWkVIdmqKU,view_count,60520,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,v7Wv1olzyNA,view_count,90302,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,pJWXb8ofStw,view_count,2863735,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,efMuQ678sbM,view_count,182919,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,zCnWDjEq-NY,view_count,109579,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,wgOC10x9OX4,view_count,99488,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,ywaS_0fVwgM,view_count,52809,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,L-1bIOHKXIw,view_count,26875,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,ZZdWztAF6Qs,view_count,21173,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,G8D8xVwhRy8,view_count,9633408,2026-08-12T13:29:41.176900+07:00,youtube_public_v1,PUBLIC,5qWXsxtUoecRLfh75
youtube,-LAdXYSoPLk,view_count,3565324,2026-08-12T13:30:43.959268+07:00,youtube_public_v1,PUBLIC,Nm0uV0CdE8TP5YEgh
youtube,iGJjD9CT3tQ,view_count,2723263,2026-08-12T13:30:43.959268+07:00,youtube_public_v1,PUBLIC,Nm0uV0CdE8TP5YEgh
youtube,UuAXAlZvmtY,view_count,2077977,2026-08-12T13:30:43.959268+07:00,youtube_public_v1,PUBLIC,Nm0uV0CdE8TP5YEgh
youtube,CvQC5KgiK7c,view_count,2671156,2026-08-12T13:31:52.156437+07:00,youtube_public_v1,PUBLIC,feieHpG3pLAJw9qYM
youtube,DUhuOYsHjLs,view_count,1045777,2026-08-12T16:30:37.452438+07:00,youtube_public_v1,PUBLIC,OoPkMbTamPT06ikpY
youtube,DaCtL3pjcFs,view_count,7284791,2026-08-12T18:29:50.022013+07:00,youtube_public_v1,PUBLIC,i8Yes35BVH22XIPbc
youtube,q3Ng-eJV8ow,view_count,4759916,2026-08-12T18:29:50.022013+07:00,youtube_public_v1,PUBLIC,i8Yes35BVH22XIPbc
youtube,vOpFr1UejLw,view_count,237865,2026-08-12T18:29:50.022013+07:00,youtube_public_v1,PUBLIC,i8Yes35BVH22XIPbc
youtube,odYn70WbAYg,view_count,3132398,2026-08-12T18:31:13.896366+07:00,youtube_public_v1,PUBLIC,yRSEIBGUUNQ04wzQA
