show_id,show_name,content_role,query,max_results,include_shorts,include_livestreams,run_status
TMSVN,The Masked Singer Vietnam,COMMUNITY_TRANSFORMATIVE,"""The Masked Singer Vietnam"" (remix OR duet OR stitch OR meme OR ""fan edit"" OR fancam OR parody OR cover)",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,CLIP,"""Tân Binh Toàn Năng"" (clip OR ""trich doan"" OR ""phan thi"" OR ""man trinh dien"")",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,HIGHLIGHT,"""Tân Binh Toàn Năng"" (highlight OR ""khoanh khac"" OR ""best moment"")",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,TEASER_PREVIEW,"""Tân Binh Toàn Năng"" (teaser OR trailer OR preview OR ""xem truoc"" OR ""hong tap"" OR ""don xem"")",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,RECAP_COMMENTARY,"""Tân Binh Toàn Năng"" (recap OR ""nhin lai"" OR reaction OR ""binh luan"" OR ""phan tich"")",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,PRODUCTION_ACCESS,"""Tân Binh Toàn Năng"" (""hau truong"" OR ""behind the scenes"" OR backstage OR ""making of"" OR rehearsal OR ""nhat ky"")",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,INTERVIEW_PRESS,"""Tân Binh Toàn Năng"" (interview OR ""phong van"" OR ""hop bao"" OR ""le ra mat"")",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,MUSIC_PERFORMANCE,"""Tân Binh Toàn Năng"" (""official mv"" OR ""music video"" OR ""lyric video"" OR ost OR performance OR ""live stage"" OR ""dance practice"")",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,EXTENDED_DELETED,"""Tân Binh Toàn Năng"" (uncut OR extended OR ""khong len song"" OR ""deleted scene"")",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,CAST_CHALLENGE,"""Tân Binh Toàn Năng"" (cast OR ""thu thach"" OR challenge OR game OR vlog)",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,SHORT_FORM,"""Tân Binh Toàn Năng"" (shorts OR reel OR ""short video"")",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,LIVESTREAM,"""Tân Binh Toàn Năng"" (livestream OR ""live stream"" OR ""live full"")",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,COMPILATION,"""Tân Binh Toàn Năng"" (compilation OR ""tong hop"" OR ""tuyen tap"" OR ""top khoanh khac"")",30,True,True,NOT_RUN
TBTN,Tân Binh Toàn Năng,COMMUNITY_TRANSFORMATIVE,"""Tân Binh Toàn Năng"" (remix OR duet OR stitch OR meme OR ""fan edit"" OR fancam OR parody OR cover)",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,CLIP,"""Bài Hát Của Chúng Ta"" (clip OR ""trich doan"" OR ""phan thi"" OR ""man trinh dien"")",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,HIGHLIGHT,"""Bài Hát Của Chúng Ta"" (highlight OR ""khoanh khac"" OR ""best moment"")",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,TEASER_PREVIEW,"""Bài Hát Của Chúng Ta"" (teaser OR trailer OR preview OR ""xem truoc"" OR ""hong tap"" OR ""don xem"")",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,RECAP_COMMENTARY,"""Bài Hát Của Chúng Ta"" (recap OR ""nhin lai"" OR reaction OR ""binh luan"" OR ""phan tich"")",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,PRODUCTION_ACCESS,"""Bài Hát Của Chúng Ta"" (""hau truong"" OR ""behind the scenes"" OR backstage OR ""making of"" OR rehearsal OR ""nhat ky"")",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,INTERVIEW_PRESS,"""Bài Hát Của Chúng Ta"" (interview OR ""phong van"" OR ""hop bao"" OR ""le ra mat"")",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,MUSIC_PERFORMANCE,"""Bài Hát Của Chúng Ta"" (""official mv"" OR ""music video"" OR ""lyric video"" OR ost OR performance OR ""live stage"" OR ""dance practice"")",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,EXTENDED_DELETED,"""Bài Hát Của Chúng Ta"" (uncut OR extended OR ""khong len song"" OR ""deleted scene"")",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,CAST_CHALLENGE,"""Bài Hát Của Chúng Ta"" (cast OR ""thu thach"" OR challenge OR game OR vlog)",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,SHORT_FORM,"""Bài Hát Của Chúng Ta"" (shorts OR reel OR ""short video"")",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,LIVESTREAM,"""Bài Hát Của Chúng Ta"" (livestream OR ""live stream"" OR ""live full"")",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,COMPILATION,"""Bài Hát Của Chúng Ta"" (compilation OR ""tong hop"" OR ""tuyen tap"" OR ""top khoanh khac"")",30,True,True,NOT_RUN
OURSONG,Bài Hát Của Chúng Ta,COMMUNITY_TRANSFORMATIVE,"""Bài Hát Của Chúng Ta"" (remix OR duet OR stitch OR meme OR ""fan edit"" OR fancam OR parody OR cover)",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,CLIP,"""Vietnam Idol"" (clip OR ""trich doan"" OR ""phan thi"" OR ""man trinh dien"")",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,HIGHLIGHT,"""Vietnam Idol"" (highlight OR ""khoanh khac"" OR ""best moment"")",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,TEASER_PREVIEW,"""Vietnam Idol"" (teaser OR trailer OR preview OR ""xem truoc"" OR ""hong tap"" OR ""don xem"")",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,RECAP_COMMENTARY,"""Vietnam Idol"" (recap OR ""nhin lai"" OR reaction OR ""binh luan"" OR ""phan tich"")",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,PRODUCTION_ACCESS,"""Vietnam Idol"" (""hau truong"" OR ""behind the scenes"" OR backstage OR ""making of"" OR rehearsal OR ""nhat ky"")",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,INTERVIEW_PRESS,"""Vietnam Idol"" (interview OR ""phong van"" OR ""hop bao"" OR ""le ra mat"")",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,MUSIC_PERFORMANCE,"""Vietnam Idol"" (""official mv"" OR ""music video"" OR ""lyric video"" OR ost OR performance OR ""live stage"" OR ""dance practice"")",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,EXTENDED_DELETED,"""Vietnam Idol"" (uncut OR extended OR ""khong len song"" OR ""deleted scene"")",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,CAST_CHALLENGE,"""Vietnam Idol"" (cast OR ""thu thach"" OR challenge OR game OR vlog)",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,SHORT_FORM,"""Vietnam Idol"" (shorts OR reel OR ""short video"")",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,LIVESTREAM,"""Vietnam Idol"" (livestream OR ""live stream"" OR ""live full"")",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,COMPILATION,"""Vietnam Idol"" (compilation OR ""tong hop"" OR ""tuyen tap"" OR ""top khoanh khac"")",30,True,True,NOT_RUN
VNIDOL,Vietnam Idol,COMMUNITY_TRANSFORMATIVE,"""Vietnam Idol"" (remix OR duet OR stitch OR meme OR ""fan edit"" OR fancam OR parody OR cover)",30,True,True,NOT_RUN
NHVDDP,Nữ Hoàng Vũ Đạo Đường Phố,CLIP,"""Nữ Hoàng Vũ Đạo Đường Phố"" (clip OR ""trich doan"" OR ""phan thi"" OR ""man trinh dien"")",30,True,True,NOT_RUN
NHVDDP,Nữ Hoàng Vũ Đạo Đường Phố,HIGHLIGHT,"""Nữ Hoàng Vũ Đạo Đường Phố"" (highlight OR ""khoanh khac"" OR ""best moment"")",30,True,True,NOT_RUN
NHVDDP,Nữ Hoàng Vũ Đạo Đường Phố,TEASER_PREVIEW,"""Nữ Hoàng Vũ Đạo Đường Phố"" (teaser OR trailer OR preview OR ""xem truoc"" OR ""hong tap"" OR ""don xem"")",30,True,True,NOT_RUN
NHVDDP,Nữ Hoàng Vũ Đạo Đường Phố,RECAP_COMMENTARY,"""Nữ Hoàng Vũ Đạo Đường Phố"" (recap OR ""nhin lai"" OR reaction OR ""binh luan"" OR ""phan tich"")",30,True,True,NOT_RUN
