platform,native_content_id,content_url,show_id,season_id,title,platform_format,content_role,authority_class,relationship_target_type,relationship_evidence,classification_state,review_status,published_at,duration_seconds,view_count,like_count,comment_count,availability_status,observed_at,actor_run_id,source_url
youtube,Xdqdt6eobbk,https://www.youtube.com/watch?v=Xdqdt6eobbk,ATSH,ATSH_2025,"Anh Trai ""Say Hi"" 2025 Tập 8: BigDaddy Robber đột phá, Dance Battle với cỗ máy nhảy bí ẩn bung skill",VIDEO,UNKNOWN,PRIMARY_BROADCASTER,EPISODE,EXPLICIT_TEXT_LINK,NEEDS_REVIEW,NEEDS_REVIEW,2025-11-08T12:30:11.000Z,14894,5390058,58000,9960,available,,5eIBmqIiLOzg44Gj6,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw/search?query=Anh%20Trai%20Say%20Hi%202025
youtube,CXrJ1_dTtz4,https://www.youtube.com/watch?v=CXrJ1_dTtz4&list=RDCXrJ1_dTtz4&start_radio=1,THSH,,TRẠM ĐẾN EM - LIÊN QUÂN 2 | Full EP Experience | TINH HÀ SAY HI,VIDEO,UNKNOWN,OFFICIAL_MUSIC_CHANNEL,SHOW,EXPLICIT_TEXT_LINK,NEEDS_REVIEW,NEEDS_REVIEW,2026-08-09T02:00:07.000Z,1098,596377,22000,1769,available,,jh0aF6qybmcaGnY7P,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw
youtube,cwlToxaWuL8,https://www.youtube.com/watch?v=cwlToxaWuL8&list=RDcwlToxaWuL8&start_radio=1,THSH,,"MRT - XUÂN ĐỊNH KY, buitruonglinh, CAPTAIN BOY, HYO | TINH HÀ SAY HI [PERFORMANCE]",VIDEO,PERFORMANCE,OFFICIAL_MUSIC_CHANNEL,SHOW,EXPLICIT_TEXT_LINK,NEEDS_REVIEW,NEEDS_REVIEW,2026-08-09T04:00:06.000Z,372,1049226,34000,6816,available,,jh0aF6qybmcaGnY7P,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw
youtube,vs5PyV_nvH8,https://www.youtube.com/watch?v=vs5PyV_nvH8,ATSH,ATSH_2025,"[Uncut] Full màn Rap Battle cực chiến của 2 Liên Quân, Ryn Lee xung phong đáp trả | Anh Trai Say Hi",VIDEO,UNCUT_EXTENDED,PRIMARY_BROADCASTER,SEASON,OFFICIAL_PLAYLIST_COLLECTION,ACCEPTED,ACCEPTED,2025-09-23T13:01:50.000Z,1839,280351,,,available,,M5uwXGq8dZ92waEPT,https://www.youtube.com/watch?v=vs5PyV_nvH8
youtube,XUvWJyj273c,https://www.youtube.com/watch?v=XUvWJyj273c,ATSH,ATSH_2025,"[Uncut] Full màn chia tay đẫm lệ tại vòng loại đáng nhớ, cận cảnh OgeNus ""an ủi"" các Anh Trai",VIDEO,UNCUT_EXTENDED,PRIMARY_BROADCASTER,SEASON,OFFICIAL_PLAYLIST_COLLECTION,ACCEPTED,ACCEPTED,2025-10-21T12:59:19.000Z,9421,176496,,,available,,M5uwXGq8dZ92waEPT,https://www.youtube.com/watch?v=XUvWJyj273c
youtube,5X8_IxZo8w8,https://www.youtube.com/watch?v=5X8_IxZo8w8,ATSH,ATSH_2025,"Anh Trai ""Say Hi"" 2025 -Tập 1: 30 Anh Trai ""Chill Guys Ngon Zai"" ""Độc Nhất Vô Nhị"" chào sân cực chất",VIDEO,UNKNOWN,PRIMARY_BROADCASTER,EPISODE,EXPLICIT_TEXT_LINK,NEEDS_REVIEW,NEEDS_REVIEW,2025-09-20T12:00:06.000Z,16685,10717300,110000,13113,available,,5eIBmqIiLOzg44Gj6,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw/search?query=Anh%20Trai%20Say%20Hi%202025
youtube,v8WCvNSPSa0,https://www.youtube.com/watch?v=v8WCvNSPSa0,ATSH,ATSH_2025,"Anh Trai ""Say Hi"" 2025 -Tập 2: Team Vũ Cát Tường GILL KHOI VU RIO Sơn.K OgeNus công phá Livestage 1",VIDEO,PERFORMANCE,PRIMARY_BROADCASTER,EPISODE,EXPLICIT_TEXT_LINK,ACCEPTED,ACCEPTED,2025-09-27T12:00:06.000Z,11621,6945454,79000,7974,available,,5eIBmqIiLOzg44Gj6,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw/search?query=Anh%20Trai%20Say%20Hi%202025
youtube,2HFRyTKYMAo,https://www.youtube.com/watch?v=2HFRyTKYMAo&list=RD2HFRyTKYMAo&start_radio=1,ATSH,ATSH_2025,Playlist Tinh Hà Say Hi: Tuyển Tập ĐẦY ĐỦ NHẤT Performance 3 Live Stage,VIDEO,COMPILATION,UNVERIFIED,SEASON,INFERRED,NEEDS_REVIEW,NEEDS_REVIEW,2026-08-10T12:00:03.000Z,4528,21648,,,available,,M5uwXGq8dZ92waEPT,https://www.youtube.com/watch?v=2HFRyTKYMAo&list=RD2HFRyTKYMAo&start_radio=1
youtube,e-Zg0_bf9lA,https://www.youtube.com/watch?v=e-Zg0_bf9lA&list=RDe-Zg0_bf9lA&start_radio=1,ATSH,ATSH_2025,"ĐỘC NHẤT VÔ NHỊ - Liên Quân 2 khiến sân khấu ""nổ tung"" | Anh Trai Say Hi 2025 Concert [Live Stage]",VIDEO,PERFORMANCE,PRIMARY_BROADCASTER,SEASON,OFFICIAL_PLAYLIST_COLLECTION,ACCEPTED,ACCEPTED,2026-01-26T11:01:10.000Z,362,34685,,,available,,M5uwXGq8dZ92waEPT,https://www.youtube.com/watch?v=e-Zg0_bf9lA&list=RDe-Zg0_bf9lA&start_radio=1
youtube,tSshdpvm2ko,https://www.youtube.com/watch?v=tSshdpvm2ko,ATSH,ATSH_2025,"Anh Trai ""Say Hi"" 2025 Concert Tập 1:Đắm chìm lần nữa vào MỘT ĐÊM ĐÁNG ĐẾM TẠI A MERRY X'MAS CONCERT",VIDEO,PERFORMANCE,PRIMARY_BROADCASTER,EPISODE,EXPLICIT_TEXT_LINK,ACCEPTED,ACCEPTED,2026-01-24T13:00:11.000Z,6480,2423184,9500,400,available,,5eIBmqIiLOzg44Gj6,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw/search?query=Anh%20Trai%20Say%20Hi%202025
